asset_ip,vuln_count,score_mean,score_max,cvss_mean,epss_mean,exposure,cisa_count,cve_trend_count,months_open_max,cluster,risk_profile
192.0.2.38,4,13.3,18.6,5.15,0.0,3,0,0,4.0,0,Critical
192.0.2.39,11,18.254545454545454,29.6,7.172727272727273,0.09,3,1,0,5.0,1,High
192.0.2.4,8,11.9375,17.5,4.3,0.06625,3,0,2,5.0,0,Critical
192.0.2.40,2,8.4,13.8,2.7,0.0,3,0,1,5.0,0,Critical
192.0.2.41,2,8.4,13.8,2.7,0.0,3,0,0,2.0,0,Critical
192.0.2.42,9,10.333333333333334,18.6,3.6666666666666665,0.0,3,0,0,5.0,0,Critical
192.0.2.43,1,18.6,18.6,7.8,0.0,3,0,0,0.0,2,Moderate
192.0.2.44,6,16.466666666666665,19.2,6.6499999999999995,0.03166666666666667,3,0,0,1.0,2,Moderate
192.0.2.45,2,19.200000000000003,19.8,8.1,0.0,3,0,0,0.0,2,Moderate
192.0.2.46,16,19.7875,32.2,7.65625,0.10625,3,2,1,5.0,1,High
192.0.2.47,2,15.8,18.6,6.4,0.0,3,0,0,5.0,1,High
192.0.2.48,29,18.46551724137931,30.3,7.56551724137931,0.03275862068965517,3,1,0,5.0,1,High
192.0.2.49,11,12.127272727272727,23.2,4.345454545454545,0.08636363636363636,3,0,0,5.0,1,High
192.0.2.5,5,14.760000000000002,20.6,5.88,0.0,3,0,0,5.0,1,High
192.0.2.50,21,22.18095238095238,30.3,8.104761904761906,0.11904761904761904,3,10,3,4.0,1,High
192.0.2.51,13,14.515384615384615,27.0,5.453846153846154,0.04615384615384615,3,1,0,5.0,1,High
192.0.2.52,12,27.75,39.6,6.875,0.115,3,1,0,2.0,2,Moderate
192.0.2.53,6,17.733333333333334,22.6,7.366666666666667,0.0016666666666666668,3,0,0,5.0,1,High
192.0.2.54,4,10.5,16.0,3.75,0.0,3,0,0,2.0,2,Moderate
192.0.2.55,9,19.977777777777778,27.7,7.922222222222222,0.11555555555555556,3,1,0,1.0,2,Moderate
192.0.2.56,12,12.033333333333333,27.1,4.133333333333334,0.1525,3,0,0,5.0,1,High
192.0.2.57,5,9.76,16.0,3.38,0.0,3,0,0,3.0,0,Critical
192.0.2.58,7,10.257142857142856,16.0,3.6285714285714286,0.0,3,0,0,5.0,0,Critical
192.0.2.59,3,10.799999999999999,15.6,3.9,0.0,3,0,0,5.0,0,Critical
192.0.2.6,16,17.56875,30.3,6.8875,0.095625,3,1,1,5.0,1,High
192.0.2.60,5,9.24,16.0,3.12,0.0,3,0,1,5.0,0,Critical
192.0.2.61,12,16.316666666666666,22.6,6.533333333333334,0.04833333333333334,3,0,1,5.0,1,High
192.0.2.62,22,17.5,29.6,6.840909090909091,0.07272727272727274,3,2,2,5.0,1,High
192.0.2.63,5,9.0,16.0,3.0,0.0,3,0,0,5.0,0,Critical
192.0.2.64,27,21.2,29.6,8.007407407407406,0.06777777777777778,3,10,1,1.0,2,Moderate
192.0.2.65,1,18.6,18.6,7.8,0.0,3,0,0,0.0,2,Moderate
192.0.2.66,2,20.6,22.6,8.8,0.0,3,0,0,0.0,2,Moderate
192.0.2.67,12,19.84166666666667,30.3,7.825,0.15583333333333335,3,1,0,5.0,1,High
192.0.2.68,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
192.0.2.69,5,17.02,19.4,6.92,0.036,3,0,0,2.0,2,Moderate
192.0.2.7,6,9.666666666666666,16.0,3.3333333333333335,0.0,3,0,0,4.0,0,Critical
192.0.2.70,5,16.96,19.2,6.9799999999999995,0.0,3,0,0,1.0,2,Moderate
192.0.2.71,6,9.666666666666666,16.0,3.3333333333333335,0.0,3,0,0,5.0,0,Critical
192.0.2.72,6,9.966666666666667,16.0,3.483333333333333,0.0,3,0,0,5.0,0,Critical
192.0.2.73,7,9.085714285714285,16.0,3.042857142857143,0.0,3,0,1,5.0,0,Critical
192.0.2.74,14,18.614285714285717,27.0,7.535714285714286,0.03785714285714286,3,1,0,5.0,1,High
192.0.2.75,1,3.0,3.0,0.0,0.0,3,0,0,5.0,0,Critical
192.0.2.76,6,17.533333333333335,31.5,6.5,0.14,3,1,0,2.0,2,Moderate
192.0.2.77,8,12.775,19.4,4.6,0.115,3,0,0,5.0,1,High
192.0.2.78,89,20.442696629213483,32.0,7.704494382022473,0.13696629213483147,3,24,6,5.0,3,Low
192.0.2.79,21,18.10952380952381,30.3,7.085714285714286,0.13857142857142857,3,1,2,5.0,1,High
192.0.2.8,5,9.0,16.0,3.0,0.0,3,0,0,5.0,0,Critical
192.0.2.80,1,3.0,3.0,0.0,0.0,3,0,0,5.0,0,Critical
192.0.2.81,1,18.6,18.6,7.8,0.0,3,0,0,0.0,2,Moderate
192.0.2.82,95,21.15157894736842,32.2,8.636842105263158,0.029789473684210525,3,13,7,5.0,3,Low
192.0.2.83,16,16.9875,22.6,6.99375,0.000625,3,0,1,5.0,1,High
192.0.2.84,69,21.82753623188406,30.3,8.826086956521738,0.06217391304347826,3,11,3,0.0,2,Moderate
192.0.2.85,2,18.3,18.6,7.65,0.0,3,0,1,0.0,2,Moderate
192.0.2.86,2,3.0,3.0,0.0,0.0,3,0,0,5.0,0,Critical
192.0.2.87,4,9.65,13.8,3.325,0.0,3,0,0,5.0,0,Critical
192.0.2.88,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
192.0.2.89,2,8.4,13.8,2.7,0.0,3,0,0,2.0,0,Critical
192.0.2.9,5,9.0,16.0,3.0,0.0,3,0,0,5.0,0,Critical
192.0.2.90,7,18.97142857142857,22.6,7.985714285714286,0.0,3,0,0,4.0,1,High
192.0.2.91,3,10.200000000000001,13.8,3.6,0.0,3,0,2,2.0,2,Moderate
192.0.2.92,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
192.0.2.93,12,10.758333333333333,20.0,3.6,0.11249999999999999,3,0,0,5.0,1,High
192.0.2.94,8,11.3,22.0,3.8875,0.105,3,0,0,5.0,1,High
192.0.2.95,4,8.95,16.0,2.975,0.0,3,0,1,5.0,0,Critical
192.0.2.96,31,17.425806451612903,30.3,6.319354838709677,0.06806451612903225,3,9,2,5.0,1,High
192.0.2.97,6,9.966666666666667,16.0,3.483333333333333,0.0,3,0,0,5.0,0,Critical
192.0.2.98,4,10.5,16.0,3.75,0.0,3,0,1,0.0,2,Moderate
192.0.2.99,11,18.581818181818182,22.8,7.790909090909091,0.0,3,0,0,5.0,1,High
198.51.100.1,34,19.191176470588236,30.3,7.458823529411765,0.049705882352941176,3,7,2,2.0,2,Moderate
198.51.100.10,4,16.4,18.6,6.7,0.0,3,0,0,1.0,2,Moderate
198.51.100.100,8,11.875,19.4,4.15,0.115,3,0,0,5.0,1,High
198.51.100.101,15,18.006666666666668,30.3,7.08,0.10133333333333333,3,1,0,5.0,1,High
198.51.100.102,5,8.32,13.8,2.66,0.0,3,0,1,5.0,0,Critical
