host_ip,qtd_vulns,score_medio,score_max,cvss_medio,epss_medio,exposicao,qtd_cisa,qtd_cve_trend,meses_aberto_max,cluster,perfil_risco
192.168.0.50,98,17.712244897959184,30.3,7.305102040816326,0.011122448979591835,3,1,0,3.0,0,Crítico
192.168.0.53,55,20.94727272727273,32.2,8.516363636363637,0.0016363636363636363,3,9,0,0.0,1,Alto
192.168.0.56,44,21.50227272727273,32.2,8.679545454545455,0.002045454545454545,3,9,0,0.0,1,Alto
192.168.0.6,5,16.2,22.6,6.6,0.0,3,0,0,0.0,1,Alto
192.168.0.61,9,16.733333333333334,22.6,6.866666666666666,0.0,3,0,0,2.0,1,Alto
192.168.0.62,7,18.45714285714286,22.6,7.728571428571429,0.0,3,0,0,0.0,1,Alto
192.168.0.69,49,21.412244897959184,32.2,8.593877551020409,0.021428571428571425,3,10,0,0.0,1,Alto
192.168.0.7,49,21.328571428571433,32.2,8.644897959183673,0.004081632653061225,3,9,0,5.0,0,Crítico
192.168.0.74,13,17.138461538461538,21.2,7.06923076923077,0.0,3,0,0,3.0,0,Crítico
192.168.0.8,6,17.233333333333334,18.6,7.116666666666667,0.0,3,0,0,5.0,0,Crítico
192.168.0.83,2,13.8,22.6,5.4,0.0,3,0,0,0.0,1,Alto
192.168.0.88,6,17.666666666666668,22.6,7.333333333333333,0.0016666666666666668,3,0,0,5.0,0,Crítico
192.168.0.9,91,19.854945054945055,32.2,7.825274725274726,0.03274725274725275,3,18,0,5.0,0,Crítico
192.168.1.10,60,20.71333333333333,32.2,8.356666666666667,0.017166666666666663,3,10,0,5.0,0,Crítico
192.168.1.100,109,21.331192660550457,32.2,8.477981651376147,0.009724770642201836,3,27,0,5.0,0,Crítico
192.168.1.101,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
192.168.1.102,17,18.488235294117647,23.9,7.588235294117647,0.004117647058823529,3,1,0,4.0,0,Crítico
192.168.1.103,14,18.792857142857144,30.3,7.528571428571429,0.07642857142857142,3,1,0,5.0,0,Crítico
192.168.1.104,11,20.172727272727272,30.3,8.145454545454546,0.08636363636363636,3,1,0,1.0,1,Alto
192.168.1.108,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
192.168.1.11,39,21.0,28.2,8.25897435897436,0.04,3,10,0,5.0,0,Crítico
192.168.1.111,3,20.46666666666667,22.6,8.733333333333334,0.0,3,0,0,0.0,1,Alto
192.168.1.115,4,16.5,22.6,6.75,0.0,3,0,0,0.0,1,Alto
192.168.1.12,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
192.168.1.13,49,21.181632653061225,32.2,8.577551020408164,0.001836734693877551,3,9,0,5.0,0,Crítico
192.168.1.137,8,16.2,22.6,6.6,0.00125,3,0,0,1.0,1,Alto
192.168.1.139,21,16.69047619047619,21.5,6.838095238095238,0.0033333333333333335,3,0,0,2.0,1,Alto
192.168.1.14,53,21.401886792452828,32.2,8.633962264150943,0.020377358490566037,3,10,0,4.0,0,Crítico
192.168.1.145,70,21.16857142857143,32.2,7.85,0.1647142857142857,3,23,0,5.0,0,Crítico
192.168.1.147,4,16.85,18.6,6.925,0.0,3,0,0,5.0,0,Crítico
192.168.1.15,58,20.382758620689657,32.2,8.255172413793103,0.0027586206896551726,3,9,0,5.0,0,Crítico
192.168.1.176,48,21.214583333333334,32.2,8.583333333333334,0.001875,3,9,0,0.0,1,Alto
192.168.1.19,60,20.17666666666667,32.2,8.166666666666666,0.0026666666666666666,3,9,0,2.0,1,Alto
192.168.1.209,22,18.068181818181817,23.9,7.413636363636363,0.002727272727272727,3,1,0,2.0,1,Alto
192.168.1.22,7,18.2,22.6,7.6000000000000005,0.0,3,0,0,3.0,0,Crítico
192.168.1.223,6,17.533333333333335,19.8,7.266666666666667,0.0,3,0,0,2.0,1,Alto
192.168.1.238,16,16.48125,22.6,6.73125,0.004375,3,0,0,5.0,0,Crítico
192.168.1.24,3,16.266666666666666,18.6,6.633333333333333,0.0,3,0,0,5.0,0,Crítico
192.168.1.27,38,19.986842105263158,30.3,7.7368421052631575,0.06631578947368422,3,9,0,1.0,1,Alto
192.168.1.3,73,21.34657534246575,32.2,8.423287671232876,0.026575342465753424,3,19,0,5.0,0,Crítico
192.168.1.39,10,16.8,22.6,6.9,0.001,3,0,0,5.0,0,Crítico
192.168.1.41,1,19.8,19.8,8.4,0.0,3,0,0,0.0,1,Alto
192.168.1.42,45,21.482222222222223,32.2,8.682222222222224,0.002,3,9,0,5.0,0,Crítico
192.168.1.43,45,21.482222222222223,32.2,8.682222222222224,0.002,3,9,0,0.0,1,Alto
192.168.1.48,50,21.322000000000003,32.2,8.658000000000001,0.0018,3,9,0,5.0,0,Crítico
192.168.1.5,16,16.525,22.6,6.7625,0.00125,3,0,0,5.0,0,Crítico
192.168.1.51,3,23.600000000000005,29.6,8.8,0.26666666666666666,3,1,0,0.0,1,Alto
192.168.1.6,64,21.0140625,32.2,8.3515625,0.013125,3,15,0,5.0,0,Crítico
192.168.1.65,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
192.168.1.69,6,17.2,20.6,7.1000000000000005,0.0016666666666666668,3,0,0,5.0,0,Crítico
192.168.1.7,14,18.271428571428572,22.8,7.635714285714286,0.0,3,0,0,5.0,0,Crítico
192.168.1.70,46,21.45434782608696,32.2,8.680434782608696,0.0019565217391304345,3,9,0,5.0,0,Crítico
192.168.1.71,1,22.6,22.6,9.8,0.0,3,0,0,0.0,1,Alto
192.168.1.73,22,17.113636363636363,22.6,7.05,0.003181818181818182,3,0,0,5.0,0,Crítico
192.168.1.74,45,21.482222222222223,32.2,8.682222222222224,0.002,3,9,0,2.0,1,Alto
192.168.1.8,56,20.726785714285715,32.2,8.414285714285715,0.0016071428571428571,3,9,0,5.0,0,Crítico
192.168.1.83,8,18.400000000000002,22.6,7.7,0.00125,3,0,0,5.0,0,Crítico
192.168.1.9,74,19.835135135135136,32.2,7.945945945945946,0.026891891891891888,3,11,0,5.0,0,Crítico
192.168.10.1,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
192.168.10.113,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.116,2,8.4,13.8,2.7,0.0,3,0,0,0.0,1,Alto
192.168.10.120,3,9.066666666666668,13.8,3.0333333333333337,0.0,3,0,0,5.0,2,Moderado
192.168.10.121,6,8.0,16.0,2.5,0.0,3,0,0,5.0,2,Moderado
192.168.10.125,3,10.200000000000001,13.8,3.6,0.0,3,0,0,5.0,2,Moderado
192.168.10.142,6,8.0,16.0,2.5,0.0,3,0,0,5.0,2,Moderado
192.168.10.147,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.154,4,10.5,16.0,3.75,0.0,3,0,0,1.0,1,Alto
192.168.10.156,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.179,2,8.4,13.8,2.7,0.0,3,0,0,5.0,2,Moderado
192.168.10.180,6,9.6,16.0,3.3000000000000003,0.0,3,0,0,5.0,2,Moderado
